Runs,thisN,thisTrialN,thisRepN,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,trialOrder,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,advanceToTrigger.keys,advanceToTrigger.rt,advanceToTrigger.duration,scannerTriggerKey.keys,scannerTriggerKey.rt,scannerTriggerKey.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,optimalImg,suboptimalImg,optimalSide,suboptimalSide,optimalResponse,suboptimalResponse,leftImage,rightImage,startFixOnTime,cueOnTime,responseTime,cueOffTime,cueResp.keys,cueResp.corr,cueResp.rt,cueResp.duration,Choice,Accuracy,outcome,Feedback,trialChange,runningBankTotal,feedbackTime,feedbackOffTime,fixationTime,thisRow.t,notes,pracDir.started,pracDirText.started,advanceScreenPress.started,pracDir.stopped,advanceScreenPress.keys,advanceScreenPress.rt,advanceScreenPress.duration,summaryDirections.started,summary.started,advanceScreenPress4.started,summaryDirections.stopped,advanceScreenPress4.keys,advanceScreenPress4.rt,advanceScreenPress4.duration,getReady.started,getReadyText.started,advanceToTrigger.started,getReady.stopped,runs.advanceToTrigger.keys,runs.advanceToTrigger.rt,runs.advanceToTrigger.duration,waitForScanner.started,waitScannerText.started,scannerTriggerKey.started,waitForScanner.stopped,runs.scannerTriggerKey.keys,runs.scannerTriggerKey.rt,runs.scannerTriggerKey.duration,trials.optimalImg,trials.suboptimalImg,trials.optimalSide,trials.suboptimalSide,trials.optimalResponse,trials.suboptimalResponse,trials.leftImage,trials.rightImage,trials.startFixOnTime,cue.started,startFixStatic.started,frame1.started,staticISI.started,startFixStatic.stopped,leftCue.started,rightCue.started,cueResp.started,topFrameText.started,bottomFrameText.started,trials.cueOnTime,trials.responseTime,cue.stopped,trials.cueOffTime,trials.cueResp.keys,trials.cueResp.corr,trials.cueResp.rt,trials.cueResp.duration,outcomeDelayRoutine.started,frame1Fix.started,outcomeDelayFix.started,topFrameTextFix.started,bottomFrameTextFix.started,frame1Fix.stopped,outcomeDelayFix.stopped,topFrameTextFix.stopped,bottomFrameTextFix.stopped,outcomeDelayRoutine.stopped,trials.Choice,trials.Accuracy,trials.outcome,trials.Feedback,trials.trialChange,trials.runningBankTotal,trials.feedbackTime,outcomeRoutine.started,outcomeText.started,outcomeText.stopped,outcomeRoutine.stopped,trials.feedbackOffTime,trials.fixationTime,fixation.started,fixationCrosshair.started,participant,session,vers,mriMode,practice,date,expName,psychopyVersion,frameRate,cuePairs,expStartTime,expStart,bank,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011077292001573369,0.018144000001484528,0.018144000001484528,1.0083882499893662,space,0.9673306670156308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091904,1,A,Scan,no,2025-03-30_15h41.02.767,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:41:09 2025,2025-03-30 15h41.09.511110 -0500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0087048329878598,1.0199908750073519,1.0199908750073519,1.466252791986335,space,0.43963999999687076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091904,1,A,Scan,no,2025-03-30_15h41.02.767,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:41:09 2025,2025-03-30 15h41.09.511110 -0500,,
Run1,0,0,0,highloss,1.5,2.5,0,Drift3,1,1,,,,,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.3348147500073537,,,,,,,,,,,,,,,,1.4719055829918943,1.479690208012471,1.479690208012471,2.033763999992516,space,0.5440194999973755,None,2.0338205420121085,2.0377061670005787,2.0377061670005787,3.3161779580113944,5,1.2714533339894842,None,5.png,6.png,left,right,1,2,images/5.png,images/6.png,3.3605365829716902,3.3297889580135234,3.3348147500073537,3.3348147500073537,0.013605457992525771,3.838487792003434,3.838487792003434,3.838487792003434,3.838487792003434,3.838487792003434,3.838487792003434,3.8759422499861103,4.291046374972211,6.318614624993643,6.354423124983441,1,1,0.40154449999681674,0.1411237500142306,6.321091916994192,6.3304255830007605,6.3304255830007605,6.3304255830007605,6.3304255830007605,8.821966749994317,8.821966749994317,8.821966749994317,8.821966749994317,8.816118374990765,1,1,False,0,-0.5,-0.5,8.851983166998252,8.819386624993058,8.821966749994317,9.818517000006977,9.815984416985884,9.851802624994889,9.851823457982391,9.816038207995007,9.818517000006977,,,,,,,,,,,,,,
